"","brand","lat","lng","cid","seat"
"36","裸心社",31.2364980749324,121.473165231875,9,681
"37","裸心社",31.2308101428237,121.455566168267,9,313
"38","裸心社",31.2309274030072,121.443726026572,9,269
"39","裸心社",31.2041537698629,121.398041360183,9,1120
"40","裸心社",31.1967597189469,121.310239652447,9,285
"41","裸心社",31.243944878688,121.435845700813,9,657
"42","Wework",31.2311271302544,121.436033912811,9,700
"43","Wework",31.2282903320863,121.453694636158,9,1300
"44","Wework",31.2216765412688,121.462136625796,9,700
"45","Wework",31.232510005437,121.47665055993,9,600
"46","Wework",31.2294890511533,121.476189568701,9,1600
"47","Wework",31.1646920554485,121.435238751478,9,1100
"48","Wework",31.2386395949393,121.496872849654,9,120
"49","Wework",31.3006040228568,121.524895392277,9,700
"50","Wework",31.2324286355699,121.456277540608,9,1600
"51","Wework",31.2235019664518,121.485006375957,9,4500
"52","Funwork",31.2273672312958,121.627666172083,9,512
"53","Funwork",31.278719185802,121.480877978144,9,164
"54","Funwork",31.2235019664518,121.485006375957,9,358
"55","Funwork",31.2309274030072,121.443726026572,9,527
"56","优客工场",31.2273672312958,121.627666172083,9,88
"57","优客工场",31.2273672312958,121.627666172083,9,366
"58","优客工场",31.2273672312958,121.627666172083,9,595
"59","优客工场",31.2734396175527,121.529217184363,9,331
"60","优客工场",31.226315424355,121.469107075107,9,223
"61","优客工场",31.2309274030072,121.443726026572,9,173
"62","优客工场",31.2267995709751,121.505344662325,9,178
"63","优客工场",31.2235019664518,121.485006375957,9,171
"64","优客工场",31.1646920554485,121.435238751478,9,467
"65","We+",31.2273672312958,121.627666172083,9,1800
"66","We+",31.0892933920395,121.413925278789,9,1400
"67","We+",31.0892933920395,121.413925278789,9,21
"68","We+",31.2235019664518,121.485006375957,9,450
"69","We+",24.5351419791466,118.017406466279,9,137
"70","We+",31.2095186530512,121.376376977288,9,68
"71","We+",31.2309274030072,121.443726026572,9,32
"72","We+",31.2196588092179,121.465606517685,9,306
"73","Workingdom",31.278719185802,121.480877978144,9,204
"74","Workingdom",31.2235019664518,121.485006375957,9,544
"75","Workingdom",31.2250043048893,121.439632753085,9,164
"76","Workingdom",31.2194134420771,121.44983693387,9,179
"77","Workingdom",31.2273866001332,121.44224566389,9,222
"78","Workingdom",31.1968227399837,121.427815593581,9,253
"79","Workingdom",31.2204209368678,121.458986321631,9,178
"80","People Squared",31.2309274030072,121.443726026572,9,290
"81","People Squared",31.2309274030072,121.443726026572,9,240
"82","People Squared",31.2309274030072,121.443726026572,9,270
"83","People Squared",31.2407552036855,121.443489283624,9,284
"84","People Squared",31.2124525082927,121.4206712634,9,164
"85","People Squared",31.23674957607,121.437942520929,9,115
"86","People Squared",31.1984563645548,121.310315355563,9,320
"87","People Squared",31.212123190945,121.456593584984,9,46
"88","People Squared",31.2364248132964,121.445130302994,9,152
"89","People Squared",31.2012803438269,121.576740623807,9,606
"90","People Squared",22.6939721519843,114.267871021297,9,219
"91","People Squared",46.5214598578345,131.550576336334,9,228
"92","寰图",31.2235019664518,121.485006375957,9,183
"93","寰图",31.2235019664518,121.485006375957,9,686
"94","星库空间",31.2309274030072,121.443726026572,9,103
"95","星库空间",31.1646920554485,121.435238751478,9,151
"96","星库空间",31.2273672312958,121.627666172083,9,134
"97","星库空间",31.2309274030072,121.443726026572,9,200
"98","方糖小镇",31.1981320551647,121.423593156497,9,500
"99","方糖小镇",31.1873982520489,121.427750232313,9,420
"100","方糖小镇",31.1919370172519,121.420605822022,9,276
"101","方糖小镇",31.2171770133308,121.415676288286,9,104
"102","方糖小镇",31.2095186530512,121.376376977288,9,700
"103","SOHO 3Q",31.2166029173557,121.469814281814,9,1600
"104","SOHO 3Q",31.2321919060671,121.489962780586,9,2500
"105","SOHO 3Q",31.2552687993288,121.481203608008,9,600
"106","SOHO 3Q",31.199947566633,121.410602050011,9,1000
"107","SOHO 3Q",31.2095186530512,121.376376977288,9,1450
"108","SOHO 3Q",31.2182004966351,121.449136566492,9,1400
"109","SOHO 3Q",31.2286038303511,121.444256085284,9,560
"110","SOHO 3Q",31.2239554440051,121.348463701416,9,1600
